strategy,N,score,nbEval,nbSolutionCourante
ils,4,0.0,200168,779
ils,4,0.0,200020,766
ils,4,0.0,200065,759
ils,4,0.0,200106,776
ils,4,0.0,200202,775
ils,4,0.0,200128,782
ils,4,0.0,200089,773
ils,4,0.0,200110,784
ils,4,0.0,200126,770
ils,4,0.0,200314,765
ils,5,0.0,200672,286
ils,5,0.0,200840,284
ils,5,0.0,201172,280
ils,5,0.0,200681,275
ils,5,0.0,201003,289
ils,5,0.0,200644,280
ils,5,0.0,200002,278
ils,5,0.0,200414,280
ils,5,0.0,200665,278
ils,5,0.0,200709,288
ils,6,0.0,200853,129
ils,6,0.0,201451,133
ils,6,0.0,200028,129
ils,6,0.0,201693,129
ils,6,0.0,200157,132
ils,6,0.0,200292,129
ils,6,0.0,201511,128
ils,6,0.0,200646,129
ils,6,0.0,200858,130
ils,6,0.0,200814,126
ils,10,0.0,204619,14
ils,10,0.05,201101,15
ils,10,0.05,208301,16
ils,10,0.0,204386,14
ils,10,0.0,204857,15
ils,10,0.05,208493,15
ils,10,0.0,208022,13
ils,10,0.05,200369,13
ils,10,0.05,205165,14
ils,10,0.0,211203,15
ils,12,0.0833,200965,7
ils,12,0.0417,223804,7
ils,12,0.0,224792,7
ils,12,0.0833,201819,6
ils,12,0.0417,201986,6
ils,12,0.0417,201308,6
ils,12,0.0417,201078,5
ils,12,0.0417,209009,6
ils,12,0.0417,208648,7
ils,12,0.0417,209027,6
ils,13,0.0769,221100,3
ils,13,0.1154,220333,3
ils,13,0.0769,231268,3
ils,13,0.0769,241483,3
ils,13,0.0769,230903,3
ils,13,0.0769,231578,3
ils,13,0.0769,231359,3
ils,13,0.0385,241475,3
ils,13,0.0769,231433,3
ils,13,0.0769,230515,3
ils,14,0.0357,254176,3
ils,14,0.1071,282972,3
ils,14,0.1071,239906,3
ils,14,0.0357,269344,3
ils,14,0.0357,283316,3
ils,14,0.0714,269147,3
ils,14,0.1071,253406,3
ils,14,0.0714,283150,3
ils,14,0.0714,269666,3
ils,14,0.0714,268772,3
ils,20,0.55,200001,2
ils,20,0.55,200001,2
ils,20,0.55,200001,2
ils,20,0.55,200001,2
ils,20,0.55,200001,2
ils,20,0.55,200001,2
ils,20,0.55,200001,2
ils,20,0.55,200001,2
ils,20,0.55,200001,2
ils,20,0.55,200001,2
